winter_year,oni_djf,roni_djf
1982,0.0,0.1
1983,2.1,2.4
1984,-0.6,-0.6
1985,-1.0,-0.8
1986,-0.4,-0.3
1987,1.2,1.5
1988,0.6,0.5
1989,-1.6,-1.6
1990,0.2,0.3
1991,0.4,0.6
1992,1.5,2.1
1993,0.1,0.6
1994,0.1,0.3
1995,0.9,1.2
1996,-0.9,-0.9
1997,-0.4,-0.2
1998,2.2,2.1
1999,-1.5,-1.6
2000,-1.5,-1.5
2001,-0.8,-0.8
2002,-0.1,-0.2
2003,0.9,0.9
2004,0.3,0.2
2005,0.6,0.5
2006,-0.9,-0.9
2007,0.6,0.6
2008,-1.8,-1.7
2009,-0.9,-1.0
2010,1.5,1.4
2011,-1.3,-1.4
2012,-0.7,-0.8
2013,-0.2,-0.5
2014,-0.2,-0.4
2015,0.7,0.5
2016,2.5,2.1
2017,-0.1,-0.6
2018,-0.7,-1.1
2019,1.0,0.7
2020,0.7,0.1
2021,-1.0,-1.3
2022,-0.8,-1.2
2023,-0.5,-0.9
2024,1.8,1.1
2025,-0.5,-1.1
2026,-0.4,-0.9
