city,enso_index,metric,comparison_group,reference_group,comparison_mean,reference_mean,difference,ci_lower,ci_upper,status,n_comparison,n_reference,comparison_years,reference_years,bootstrap_samples,sample_note,quality_method,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
london,ONI,mean_temp,El Nino,Neutral,-3.479553114,-4.721167931,1.241614818,-0.3847105747,2.797962429,inconclusive,15,12,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,mean_temp,Strong El Nino,Neutral,-2.056741962,-4.721167931,2.664425969,0.927525146,4.323947503,interval_excludes_zero,6,12,"1983,1992,1998,2010,2016,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,mean_temp,El Nino,La Nina,-3.479553114,-4.187010032,0.7074569183,-0.5308200095,1.912223149,inconclusive,15,17,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,mean_temp,La Nina,Neutral,-4.187010032,-4.721167931,0.5341578992,-0.9164936234,1.976468915,inconclusive,17,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_anomaly,El Nino,Neutral,0.5998257937,-0.6417890238,1.241614818,-0.3907033165,2.815366081,inconclusive,15,12,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_anomaly,Strong El Nino,Neutral,2.022636946,-0.6417890238,2.664425969,0.9140655216,4.359867715,interval_excludes_zero,6,12,"1983,1992,1998,2010,2016,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_anomaly,El Nino,La Nina,0.5998257937,-0.1076311246,0.7074569183,-0.5357640463,1.931784678,inconclusive,15,17,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_anomaly,La Nina,Neutral,-0.1076311246,-0.6417890238,0.5341578992,-0.9177833857,1.984553431,inconclusive,17,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,snowfall_total_cm,El Nino,Neutral,125.6285714,154.05,-28.42142857,-72.22857143,20.01910714,inconclusive,7,6,"1983,1987,1988,1992,1995,1998,2003","1982,1986,1990,1991,1997,2002",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,snowfall_total_cm,Strong El Nino,Neutral,96.33333333,154.05,-57.71666667,-107.6833333,3.95375,inconclusive,3,6,"1983,1992,1998","1982,1986,1990,1991,1997,2002",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
