city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
london,ONI,La Nina,mean_temp,degrees C,17,17,-4.187010032,-4.321111111,1.603806579,-6.334444444,-1.189010989,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",London,Southwest,43.03,False,False
london,ONI,La Nina,temp_anomaly,degrees C,17,17,-0.1076311246,-0.2417322038,1.603806579,-2.255065537,2.890367918,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",London,Southwest,43.03,False,False
london,ONI,La Nina,snowfall_total_cm,cm,17,7,145.1285714,125.7,49.15433905,90.5,215,"1984,1985,1989,1996,1999,2000,2001",London,Southwest,43.03,False,False
london,ONI,La Nina,snow_days,days,17,7,31.85714286,31,6.256425269,24,41,"1984,1985,1989,1996,1999,2000,2001",London,Southwest,43.03,False,False
london,ONI,La Nina,days_below_m20,days,17,16,4.1875,3,3.449033681,0,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2025",London,Southwest,43.03,False,False
london,ONI,Neutral,mean_temp,degrees C,13,12,-4.721167931,-4.961495726,2.304879533,-8.082222222,-0.91,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",London,Southwest,43.03,False,False
london,ONI,Neutral,temp_anomaly,degrees C,13,12,-0.6417890238,-0.8821168192,2.304879533,-4.002843315,3.169378907,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",London,Southwest,43.03,False,False
london,ONI,Neutral,snowfall_total_cm,cm,13,6,154.05,156.4,33.11058743,106.4,191.3,"1982,1986,1990,1991,1997,2002",London,Southwest,43.03,False,False
london,ONI,Neutral,snow_days,days,13,6,35.16666667,36,4.956477244,27,42,"1982,1986,1990,1991,1997,2002",London,Southwest,43.03,False,False
london,ONI,Neutral,days_below_m20,days,13,10,5,2.5,5.754225501,0,17,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2026",London,Southwest,43.03,False,False
london,ONI,El Nino,mean_temp,degrees C,15,15,-3.479553114,-3.77032967,1.991041677,-7.412222222,-0.1912087912,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",London,Southwest,43.03,False,False
london,ONI,El Nino,temp_anomaly,degrees C,15,15,0.5998257937,0.309049237,1.991041677,-3.332843315,3.888170116,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",London,Southwest,43.03,False,False
london,ONI,El Nino,snowfall_total_cm,cm,15,7,125.6285714,119.8,57.73729916,58.6,229.7,"1983,1987,1988,1992,1995,1998,2003",London,Southwest,43.03,False,False
london,ONI,El Nino,snow_days,days,15,7,27.14285714,25,10.51076546,17,48,"1983,1987,1988,1992,1995,1998,2003",London,Southwest,43.03,False,False
london,ONI,El Nino,days_below_m20,days,15,15,3.6,2,4.939635614,0,17,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",London,Southwest,43.03,False,False
london,ONI,Strong El Nino,mean_temp,degrees C,6,6,-2.056741962,-1.419456654,1.59641248,-4.264444444,-0.1912087912,"1983,1992,1998,2010,2016,2024",London,Southwest,43.03,False,False
london,ONI,Strong El Nino,temp_anomaly,degrees C,6,6,2.022636946,2.659922253,1.59641248,-0.1850655372,3.888170116,"1983,1992,1998,2010,2016,2024",London,Southwest,43.03,False,False
london,ONI,Strong El Nino,snowfall_total_cm,cm,6,3,96.33333333,68.6,56.91584431,58.6,161.8,"1983,1992,1998",London,Southwest,43.03,False,False
london,ONI,Strong El Nino,snow_days,days,6,3,22.66666667,21,6.658328118,17,30,"1983,1992,1998",London,Southwest,43.03,False,False
