north_city,south_city,enso_index,metric,difference_of_differences,ci_lower,ci_upper,status,n_common_el_nino,n_common_neutral,el_nino_years,neutral_years
thunderbay,windsor,ONI,mean_temp,1.117974315,0.1323726728,2.168541366,interval_excludes_zero,11,10,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2019,2020","1982,1986,1990,1991,1997,2002,2004,2013,2014,2026"
thunderbay,windsor,ONI,temp_anomaly,1.117974315,0.1042131393,2.15730881,interval_excludes_zero,11,10,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2019,2020","1982,1986,1990,1991,1997,2002,2004,2013,2014,2026"
thunderbay,windsor,ONI,snowfall_total_cm,-11.79,-73.650625,51.965,inconclusive,5,4,"1983,1987,1988,1992,2003","1982,1986,1990,1991"
thunderbay,windsor,ONI,snow_days,0.3,-12.90125,13.3,inconclusive,5,4,"1983,1987,1988,1992,2003","1982,1986,1990,1991"
thunderbay,windsor,ONI,days_below_m20,-5.611111111,-14.11138889,3.233611111,inconclusive,9,10,"1983,1987,1988,1992,1995,2003,2007,2010,2020","1982,1986,1990,1991,1997,2002,2004,2013,2014,2026"
thunderbay,windsor,RONI,mean_temp,0.9591826584,-0.09888494488,2.058768766,inconclusive,11,8,"1983,1987,1988,1991,1992,1995,1998,2003,2007,2010,2019","1982,1986,1990,1997,2002,2004,2014,2020"
thunderbay,windsor,RONI,temp_anomaly,0.9591826584,-0.1214040129,2.052371797,inconclusive,11,8,"1983,1987,1988,1991,1992,1995,1998,2003,2007,2010,2019","1982,1986,1990,1997,2002,2004,2014,2020"
thunderbay,windsor,RONI,snowfall_total_cm,1.8,-58.8025,60.83375,inconclusive,6,3,"1983,1987,1988,1991,1992,2003","1982,1986,1990"
thunderbay,windsor,RONI,snow_days,2.5,-11,15.66666667,inconclusive,6,3,"1983,1987,1988,1991,1992,2003","1982,1986,1990"
thunderbay,windsor,RONI,days_below_m20,-3.833333333,-13.98611111,6.000694444,inconclusive,9,8,"1983,1987,1988,1991,1992,1995,2003,2007,2010","1982,1986,1990,1997,2002,2004,2014,2020"
thunderbay,toronto,ONI,mean_temp,1.366013818,0.4723755063,2.315948025,interval_excludes_zero,14,11,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026"
thunderbay,toronto,ONI,temp_anomaly,1.366013818,0.4728466027,2.328079881,interval_excludes_zero,14,11,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026"
thunderbay,toronto,ONI,snowfall_total_cm,-32.96,-68.995,2.291375,inconclusive,5,4,"1983,1987,1988,1992,2003","1982,1986,1990,1991"
thunderbay,toronto,ONI,snow_days,0.05,-10,8.85,inconclusive,5,4,"1983,1987,1988,1992,2003","1982,1986,1990,1991"
thunderbay,toronto,ONI,days_below_m20,-5.509090909,-14.47272727,3.209318182,inconclusive,10,11,"1983,1987,1988,1992,1995,2003,2007,2010,2020,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026"
thunderbay,toronto,RONI,mean_temp,1.202637518,0.202681593,2.269904185,interval_excludes_zero,14,8,"1983,1987,1988,1991,1992,1995,1998,2003,2007,2010,2015,2016,2019,2024","1982,1986,1990,1997,2002,2004,2014,2020"
thunderbay,toronto,RONI,temp_anomaly,1.202637518,0.1971729602,2.252600606,interval_excludes_zero,14,8,"1983,1987,1988,1991,1992,1995,1998,2003,2007,2010,2015,2016,2019,2024","1982,1986,1990,1997,2002,2004,2014,2020"
thunderbay,toronto,RONI,snowfall_total_cm,-29.71666667,-61.93333333,0.4354166667,inconclusive,6,3,"1983,1987,1988,1991,1992,2003","1982,1986,1990"
thunderbay,toronto,RONI,snow_days,1.666666667,-8.666666667,10.33333333,inconclusive,6,3,"1983,1987,1988,1991,1992,2003","1982,1986,1990"
thunderbay,toronto,RONI,days_below_m20,-4.875,-15,5.175,inconclusive,10,8,"1983,1987,1988,1991,1992,1995,2003,2007,2010,2024","1982,1986,1990,1997,2002,2004,2014,2020"
