city,enso_index,metric,comparison_group,reference_group,comparison_mean,reference_mean,difference,ci_lower,ci_upper,status,n_comparison,n_reference,comparison_years,reference_years,bootstrap_samples,sample_note,quality_method,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
london,ONI,temp_detrended_residual,El Nino,Neutral,0.6151118494,-0.5508069947,1.165918844,-0.4158384956,2.707238841,inconclusive,15,12,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_detrended_residual,Strong El Nino,Neutral,2.046033284,-0.5508069947,2.596840279,0.9112740279,4.223657466,interval_excludes_zero,6,12,"1983,1992,1998,2010,2016,2024","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_detrended_residual,El Nino,La Nina,0.6151118494,-0.153940812,0.7690526614,-0.4306341358,1.980057829,inconclusive,15,17,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
london,ONI,temp_detrended_residual,La Nina,Neutral,-0.153940812,-0.5508069947,0.3968661827,-1.02925573,1.809746031,inconclusive,17,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,London,Southwest,43.03,False,False
ottawa,ONI,temp_detrended_residual,El Nino,Neutral,0.3645918281,-0.3271057075,0.6916975356,-0.903564104,2.152139533,inconclusive,15,11,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Ottawa,East,45.32,True,True
ottawa,ONI,temp_detrended_residual,Strong El Nino,Neutral,1.643638764,-0.3271057075,1.970744471,0.187309983,3.520674835,interval_excludes_zero,6,11,"1983,1992,1998,2010,2016,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,Ottawa,East,45.32,True,True
ottawa,ONI,temp_detrended_residual,El Nino,La Nina,0.3645918281,-0.1100420376,0.4746338657,-0.6954244729,1.627507915,inconclusive,15,17,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Ottawa,East,45.32,True,True
ottawa,ONI,temp_detrended_residual,La Nina,Neutral,-0.1100420376,-0.3271057075,0.2170636699,-1.145251631,1.471414604,inconclusive,17,11,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Ottawa,East,45.32,True,True
sudbury,ONI,temp_detrended_residual,El Nino,Neutral,0.7012404952,-0.6612167292,1.362457224,-0.3272272398,2.958288863,inconclusive,14,12,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Sudbury,Northeast,46.63,False,True
sudbury,ONI,temp_detrended_residual,Strong El Nino,Neutral,1.85451567,-0.6612167292,2.515732399,0.7605198614,4.145111925,interval_excludes_zero,5,12,"1983,1992,1998,2010,2016","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,Sudbury,Northeast,46.63,False,True
sudbury,ONI,temp_detrended_residual,El Nino,La Nina,0.7012404952,-0.1344832987,0.8357237939,-0.4306818745,2.060664351,inconclusive,14,14,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Sudbury,Northeast,46.63,False,True
sudbury,ONI,temp_detrended_residual,La Nina,Neutral,-0.1344832987,-0.6612167292,0.5267334305,-1.081976519,2.079359678,inconclusive,14,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022","1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Sudbury,Northeast,46.63,False,True
thunderbay,ONI,temp_detrended_residual,El Nino,Neutral,1.425262828,-0.7673937654,2.192656593,0.3499562055,4.094144829,interval_excludes_zero,14,11,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,temp_detrended_residual,Strong El Nino,Neutral,2.950537856,-0.7673937654,3.717931622,1.757297404,5.695695536,interval_excludes_zero,6,11,"1983,1992,1998,2010,2016,2024","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,fewer_than_10_winters_in_a_group,monthly_3_and_5_temperature_complete_snow_and_tmin,Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,temp_detrended_residual,El Nino,La Nina,1.425262828,-0.677196951,2.102459779,0.5969120982,3.604407204,interval_excludes_zero,14,17,"1983,1987,1988,1992,1995,1998,2003,2007,2010,2015,2016,2019,2020,2024","1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,temp_detrended_residual,La Nina,Neutral,-0.677196951,-0.7673937654,0.09019681437,-1.629781136,1.882644398,inconclusive,17,11,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025","1982,1986,1990,1991,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Thunder Bay,Northwest,48.37,True,True
toronto,ONI,temp_detrended_residual,El Nino,Neutral,0.5276941097,-0.4528462689,0.9805403786,-0.4738839817,2.39282889,inconclusive,15,13,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024","1982,1986,1990,1991,1993,1994,1997,2002,2004,2013,2014,2017,2026",10000,,monthly_3_and_5_temperature_complete_snow_and_tmin,Toronto Pearson,South-central,43.68,True,True
