city,winter_year,expected_days,recorded_days,missing_calendar_days,valid_temperature_days,valid_snowfall_days,derived_temperature_days,temperature_pass,snowfall_pass,cold_days_pass,mean_temp,snowfall_total_cm,snow_days,days_below_m20,exclusion_reasons,baseline_mean_temp,baseline_n_winters,baseline_start_winter,baseline_end_winter,baseline_complete,baseline_status,temp_anomaly,winter_label,winter_start,winter_end,temperature_coverage_pct,snowfall_coverage_pct,derived_temperature_share_pct,quality_method,oni_djf,roni_djf,enso_class_oni,strong_el_nino_oni,enso_class_roni,strong_el_nino_roni,enso_index,enso_value,enso_class,strong_el_nino,temp_detrended_residual,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
london,1982,90,90,0,90,90,0,True,True,True,-7.013333333,191.3,36,12,,-4.079378907,29,1991,2020,False,partial_available_winter_average,-2.933954426,1981-82,1981-12-01,1982-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,0,0.1,Neutral,False,Neutral,False,ONI,0,Neutral,False,-2.320309723,London,Southwest,43.03,False,False
london,1983,90,90,0,90,90,0,True,True,True,-1.541111111,58.6,17,0,,-4.079378907,29,1991,2020,False,partial_available_winter_average,2.538267796,1982-83,1982-12-01,1983-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,2.1,2.4,El Nino,True,El Nino,True,ONI,2.1,El Nino,True,3.124878223,London,Southwest,43.03,False,False
london,1984,91,91,0,91,91,0,True,True,True,-6.012087912,162.2,31,12,,-4.079378907,29,1991,2020,False,partial_available_winter_average,-1.932709005,1983-84,1983-12-01,1984-02-29,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,-0.6,-0.6,La Nina,False,La Nina,False,ONI,-0.6,La Nina,False,-1.373132855,London,Southwest,43.03,False,False
london,1985,90,90,0,90,90,0,True,True,True,-4.86,215,39,7,,-4.079378907,29,1991,2020,False,partial_available_winter_average,-0.7806210927,1984-85,1984-12-01,1985-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,-1,-0.8,La Nina,False,La Nina,False,ONI,-1,La Nina,False,-0.2480792187,London,Southwest,43.03,False,False
london,1986,90,90,0,90,90,0,True,True,True,-5.732222222,186.6,42,2,,-4.079378907,29,1991,2020,False,partial_available_winter_average,-1.652843315,1985-86,1985-12-01,1986-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,-0.4,-0.3,Neutral,False,Neutral,False,ONI,-0.4,Neutral,False,-1.147335717,London,Southwest,43.03,False,False
london,1987,90,90,0,90,90,0,True,True,True,-4.05,119.8,25,2,,-4.079378907,29,1991,2020,False,partial_available_winter_average,0.02937890729,1986-87,1986-12-01,1987-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,1.2,1.5,El Nino,False,El Nino,True,ONI,1.2,El Nino,False,0.5078522288,London,Southwest,43.03,False,False
london,1988,91,91,0,91,91,0,True,True,True,-3.895604396,124.3,30,0,,-4.079378907,29,1991,2020,False,partial_available_winter_average,0.1837745117,1987-88,1987-12-01,1988-02-29,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,0.6,0.5,El Nino,False,El Nino,False,ONI,0.6,El Nino,False,0.635213557,London,Southwest,43.03,False,False
london,1989,90,90,0,90,90,0,True,True,True,-3.715555556,112.3,30,1,,-4.079378907,29,1991,2020,False,partial_available_winter_average,0.3638233517,1988-89,1988-12-01,1989-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,-1.6,-1.6,La Nina,False,La Nina,False,ONI,-1.6,La Nina,False,0.7882281208,London,Southwest,43.03,False,False
london,1990,90,90,0,90,90,0,True,True,True,-4.892222222,160.4,37,3,,-4.079378907,29,1991,2020,False,partial_available_winter_average,-0.8128433149,1989-90,1989-12-01,1990-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,0.2,0.3,Neutral,False,Neutral,False,ONI,0.2,Neutral,False,-0.4154728221,London,Southwest,43.03,False,False
london,1991,90,90,0,90,90,0,True,True,True,-3.223333333,152.4,36,0,,-4.079378907,29,1991,2020,False,partial_available_winter_average,0.856045574,1990-91,1990-12-01,1991-02-28,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,0.4,0.6,Neutral,False,El Nino,False,ONI,0.4,Neutral,False,1.226381791,London,Southwest,43.03,False,False
london,1992,91,91,0,91,91,0,True,True,True,-3.77032967,161.8,30,4,,-4.079378907,29,1991,2020,False,partial_available_winter_average,0.309049237,1991-92,1991-12-01,1992-02-29,100,100,0,monthly_3_and_5_temperature_complete_snow_and_tmin,1.5,2.1,El Nino,True,El Nino,True,ONI,1.5,El Nino,True,0.6523511774,London,Southwest,43.03,False,False
