"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-01","2007","01","01","†","","","","","","","","","","","0.5","","0.0","","0.5","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-02","2007","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-03","2007","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-04","2007","01","04","†","","","","","","","","","","","16.9","","0.0","","16.9","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-05","2007","01","05","†","","","","","","","","","","","20.8","","0.0","","20.8","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-06","2007","01","06","†","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-07","2007","01","07","†","","","","","","","","","","","2.9","","0.0","T","2.9","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-08","2007","01","08","†","","","","","","","","","","","0.0","","4.0","","2.0","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-09","2007","01","09","†","","","","","","","","","","","0.0","","3.5","","2.4","","3","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-10","2007","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","4","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-11","2007","01","11","†","","","","","","","","","","","5.1","","0.0","","5.1","","3","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-12","2007","01","12","†","","","","","","","","","","","5.4","","0.0","","5.4","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-13","2007","01","13","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-14","2007","01","14","†","","","","","","","","","","","10.2","","2.5","","13.6","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-15","2007","01","15","†","","","","","","","","","","","5.7","","0.0","T","5.7","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-16","2007","01","16","†","","","","","","","","","","","0.0","","2.0","","0.8","","0","T","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-17","2007","01","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","2","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-18","2007","01","18","†","","","","","","","","","","","0.0","","1.0","","1.1","","2","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-19","2007","01","19","†","","","","","","","","","","","0.0","","2.5","","2.0","","2","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-20","2007","01","20","†","","","","","","","","","","","0.0","","4.0","","2.5","","4","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-21","2007","01","21","†","","","","","","","","","","","0.0","","2.5","","1.7","","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-22","2007","01","22","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-23","2007","01","23","†","","","","","","","","","","","0.0","","1.5","","1.2","","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-24","2007","01","24","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-25","2007","01","25","†","","","","","","","","","","","0.0","","3.5","","2.5","","7","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-26","2007","01","26","†","","","","","","","","","","","0.0","","3.0","","2.1","","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-27","2007","01","27","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-28","2007","01","28","†","","","","","","","","","","","0.0","","2.5","","1.9","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-29","2007","01","29","†","","","","","","","","","","","0.0","","0.3","","0.2","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-30","2007","01","30","†","","","","","","","","","","","0.0","","0.3","","0.1","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-01-31","2007","01","31","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-01","2007","02","01","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-02","2007","02","02","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-03","2007","02","03","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-04","2007","02","04","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-05","2007","02","05","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-06","2007","02","06","†","","","","","","","","","","","0.0","","0.3","","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-07","2007","02","07","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-08","2007","02","08","†","","","","","","","","","","","0.0","","3.0","","2.1","","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-09","2007","02","09","†","","","","","","","","","","","0.0","","0.5","","0.2","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-10","2007","02","10","†","","","","","","","","","","","0.0","","0.8","","0.2","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-11","2007","02","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-12","2007","02","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-13","2007","02","13","†","","","","","","","","","","","0.0","","10.0","","8.3","","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-14","2007","02","14","†","","","","","","","","","","","0.0","","2.0","","0.4","","15","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-15","2007","02","15","†","","","","","","","","","","","0.0","","0.5","","0.1","","13","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-16","2007","02","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-17","2007","02","17","†","","","","","","","","","","","0.0","","7.5","","4.0","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-18","2007","02","18","†","","","","","","","","","","","0.0","","2.0","","1.8","","17","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-19","2007","02","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","19","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-20","2007","02","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","17","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-21","2007","02","21","†","","","","","","","","","","","0.0","","0.5","","0.3","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-22","2007","02","22","†","","","","","","","","","","","5.5","","3.7","","8.7","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-23","2007","02","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-24","2007","02","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-25","2007","02","25","†","","","","","","","","","","","3.4","","4.0","","7.3","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-26","2007","02","26","†","","","","","","","","","","","0.0","","1.5","","1.1","","13","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-27","2007","02","27","†","","","","","","","","","","","0.0","","2.0","","2.0","","14","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-02-28","2007","02","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-01","2007","03","01","†","","","","","","","","","","","15.2","","4.0","","19.2","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-02","2007","03","02","†","","","","","","","","","","","0.0","","1.5","","1.4","","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-03","2007","03","03","†","","","","","","","","","","","0.0","","4.0","","3.1","","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-04","2007","03","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-05","2007","03","05","†","","","","","","","","","","","0.0","","4.0","","3.8","","12","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-06","2007","03","06","†","","","","","","","","","","","0.0","","4.0","","3.6","","10","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-07","2007","03","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","14","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-08","2007","03","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-09","2007","03","09","†","","","","","","","","","","","5.6","","0.0","","5.6","","13","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-10","2007","03","10","†","","","","","","","","","","","1.1","","0.0","","1.1","","11","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-11","2007","03","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","9","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-12","2007","03","12","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","8","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-13","2007","03","13","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","6","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-14","2007","03","14","†","","","","","","","","","","","0.4","","0.0","T","0.4","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-15","2007","03","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-16","2007","03","16","†","","","","","","","","","","","0.0","","2.0","","1.8","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-17","2007","03","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","1","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-18","2007","03","18","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-19","2007","03","19","†","","","","","","","","","","","0.0","","2.0","","1.8","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-20","2007","03","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-21","2007","03","21","†","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-22","2007","03","22","†","","","","","","","","","","","8.1","","0.0","","8.1","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-23","2007","03","23","†","","","","","","","","","","","0.5","","0.0","","0.5","","0","","","","",""
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2007-03-24","2007","03","24","†","","","","","","","","","","","5.9","","0.0","","5.9","","0","","","","",""
