"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","1993-01-01","1993","01","01","","-11.0","","-25.7","","-18.4","","36.4","","0.0","","0.0","","0.4","","0.4","","54","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-02","1993","01","02","","-8.5","","-19.9","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","54","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-03","1993","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-04","1993","01","04","","2.7","","-5.9","","-1.6","","19.6","","0.0","","6.2","","6.4","","12.0","","43","","1","","43",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-05","1993","01","05","","-5.9","","-14.5","","-10.2","","28.2","","0.0","","0.0","","2.8","","2.8","","50","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-06","1993","01","06","","-5.3","","-15.1","","-10.2","","28.2","","0.0","","0.0","","0.8","","0.8","","50","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-07","1993","01","07","","-7.3","","-13.4","","-10.4","","28.4","","0.0","","0.0","","0.0","T","0.0","T","51","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-08","1993","01","08","","-11.5","","-22.0","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","51","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-09","1993","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-10","1993","01","10","","-16.2","","-25.8","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","31","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-11","1993","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-12","1993","01","12","","-7.6","","-16.7","","-12.2","","30.2","","0.0","","0.0","","0.0","","0.0","","31","","3","","37",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-13","1993","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-14","1993","01","14","","-11.6","","-19.9","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","35","","1","","41",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-15","1993","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-16","1993","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-17","1993","01","17","","-3.1","","-17.2","","-10.2","","28.2","","0.0","","0.0","","2.6","","2.6","","33","","32","","44",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-18","1993","01","18","","-11.0","","-21.4","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","34","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-19","1993","01","19","","-5.3","","-18.0","","-11.7","","29.7","","0.0","","0.0","","0.0","T","0.0","T","33","","25","","39",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-20","1993","01","20","","-2.2","","-10.5","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","32","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-21","1993","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-22","1993","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-23","1993","01","23","","0.6","","-4.1","","-1.8","","19.8","","0.0","","0.0","T","0.0","T","0.0","T","26","","","M","<31",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-24","1993","01","24","","0.6","","-13.4","","-6.4","","24.4","","0.0","","0.4","","0.4","","0.8","","26","","33","","46",""
"-80.80","46.63","SUDBURY A","6068150","1993-01-25","1993","01","25","","","","","","","","","","","","","","","","","","","","","","",""
