"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-01","1984","01","01","","-8.3","","-20.6","","-14.5","","32.5","","0.0","","0.0","","0.2","","0.2","","22","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-02","1984","01","02","","-3.4","","-13.9","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-03","1984","01","03","","6.0","","-8.2","","-1.1","","19.1","","0.0","","0.6","","0.0","T","0.6","","21","","26","","59",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-04","1984","01","04","","3.4","","-16.1","","-6.4","","24.4","","0.0","","0.0","T","0.2","","0.2","","17","","26","","46",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-05","1984","01","05","","0.2","","-14.4","","-7.1","","25.1","","0.0","","0.0","","3.5","","2.7","","17","","30","","56",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-06","1984","01","06","","-7.0","","-19.3","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","20","","33","","43",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-07","1984","01","07","","-1.6","","-14.1","","-7.9","","25.9","","0.0","","0.0","T","6.2","","3.5","","21","","32","","56",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-08","1984","01","08","","-13.9","","-24.4","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","26","","30","","52",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-09","1984","01","09","","-11.8","","-27.5","","-19.7","","37.7","","0.0","","0.0","","0.0","T","0.0","T","25","","31","","37",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-10","1984","01","10","","-20.9","","-28.7","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-11","1984","01","11","","-21.2","","-31.8","","-26.5","","44.5","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-12","1984","01","12","","-13.5","","-25.7","","-19.6","","37.6","","0.0","","0.0","","0.8","","0.5","","25","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-13","1984","01","13","","-9.6","","-17.4","","-13.5","","31.5","","0.0","","0.0","","3.6","","2.2","","26","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-14","1984","01","14","","-15.6","","-29.9","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-15","1984","01","15","","-5.9","","-30.8","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","26","","21","","41",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-16","1984","01","16","","-8.1","","-23.2","","-15.7","","33.7","","0.0","","0.0","","0.6","","0.3","","24","","28","","33",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-17","1984","01","17","","-18.2","","-30.0","","-24.1","","42.1","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-18","1984","01","18","","-19.9","","-31.2","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-19","1984","01","19","","-21.5","","-31.0","","-26.3","","44.3","","0.0","","0.0","","0.3","","0.3","","24","","30","","33",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-20","1984","01","20","","-24.4","","-34.6","","-29.5","","47.5","","0.0","","0.0","","0.0","","0.0","","24","","26","","31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-21","1984","01","21","","-15.0","","-34.4","","-24.7","","42.7","","0.0","","0.0","","0.2","","0.0","T","24","","27","","33",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-22","1984","01","22","","-14.9","","-30.7","","-22.8","","40.8","","0.0","","0.0","","4.4","","3.6","","24","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-23","1984","01","23","","-2.2","","-22.4","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-24","1984","01","24","","1.1","","-8.1","","-3.5","","21.5","","0.0","","0.0","","0.4","","0.2","","27","","28","","69",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-25","1984","01","25","","-8.1","","-18.0","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","26","","29","","74",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-26","1984","01","26","","-8.5","","-24.6","","-16.6","","34.6","","0.0","","0.0","","1.5","","1.1","","26","","29","","48",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-27","1984","01","27","","-8.4","","-22.0","","-15.2","","33.2","","0.0","","0.0","","3.0","","2.2","","27","","28","","48",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-28","1984","01","28","","-4.8","","-12.1","","-8.5","","26.5","","0.0","","0.0","","5.2","","3.2","","32","","30","","39",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-29","1984","01","29","","-9.2","","-17.1","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","33","","30","","35",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-30","1984","01","30","","-11.5","","-23.8","","-17.7","","35.7","","0.0","","0.0","","0.4","","0.2","","33","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-01-31","1984","01","31","","-7.8","","-25.1","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-01","1984","02","01","","-3.2","","-10.1","","-6.7","","24.7","","0.0","","0.0","","0.4","","0.4","","33","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-02","1984","02","02","","-0.5","","-9.4","","-5.0","","23.0","","0.0","","0.0","T","5.6","","5.6","","33","","9","","52",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-03","1984","02","03","","-3.5","","-10.4","","-7.0","","25.0","","0.0","","0.0","","1.4","","0.8","","39","","26","","35",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-04","1984","02","04","","-8.1","","-18.0","","-13.1","","31.1","","0.0","","0.0","","1.9","","1.6","","40","","36","","43",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-05","1984","02","05","","-17.8","","-28.0","","-22.9","","40.9","","0.0","","0.0","","0.2","","0.2","","40","","1","","46",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-06","1984","02","06","","-14.4","","-30.4","","-22.4","","40.4","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-07","1984","02","07","","-9.4","","-21.2","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-08","1984","02","08","","1.7","","-13.4","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-09","1984","02","09","","1.0","","-13.6","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-10","1984","02","10","","-0.2","","-13.9","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-11","1984","02","11","","3.4","","-3.9","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-12","1984","02","12","","1.4","","0.2","","0.8","","17.2","","0.0","","9.8","","0.6","","10.4","","29","","6","","48",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-13","1984","02","13","","4.0","","0.6","","2.3","","15.7","","0.0","","12.3","","0.0","T","12.3","","25","","6","","37",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-14","1984","02","14","","5.4","","1.2","","3.3","","14.7","","0.0","","0.0","T","0.0","T","0.0","T","20","","26","","41",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-15","1984","02","15","","1.9","","0.5","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-16","1984","02","16","","3.2","","-0.8","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","14","","7","","31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-17","1984","02","17","","3.8","","-1.6","","1.1","","16.9","","0.0","","1.0","","0.2","","1.2","","13","","6","","37",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-18","1984","02","18","","3.8","","-3.3","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-19","1984","02","19","","1.1","","-7.4","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","13","","36","","44",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-20","1984","02","20","","0.8","","-8.4","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","13","","33","","43",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-21","1984","02","21","","2.2","","-2.7","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1984-02-22","1984","02","22","","9.7","","-6.6","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
